Key,Russian,English
UI_SUBMIT,Отправить отчёт,Submit Report
UI_CANCEL,Отмена,Cancel
UI_CLOSE,Закрыть,Close
UI_RECORD,Записать данные,Record Data
UI_AddScanText,Поставьте образец на стенд чтобы начать сканирование,Place the sample on the stand to start scanning
UI_MainMenu_NewGame,Новая игра,New Game
UI_SetingButton,Настройки,Settings
UI_MainMenu_ExitGame,Выйти из игры,Exit Game
UI_MainMenu_SaveSlot_EmptyText,Пустой слот,Empty slot
UI_MainMenu_SaveSlot_Load,Загрузить сохранение,Load save
UI_MainMenu_SaveSlot_Delete,Удалить сохранение,Delete save
UI_MainMenu_Continue_Game,Продолжить игру,Continue Game
UI_PauseMenu_SaveFeedBack,Игра сохранена,Game is saved
UI_PauseMenu_Continue,Продолжить,Continue
UI_PauseMenu_SaveGame,Сохраниться,Save Game
UI_PauseMenu_ExitToMenu,Выйти в меню,Exit to Main Menu
UI_PauseMenu_ExitToDesktop,Выйти на рабочий стол,Exit to Desktop
RADIO_PROMPT,"Нажмите Enter, чтобы продолжить","Press Enter to continue"
RADIO_SPEAKER_COMMAND,Радио,Radio
MONOLOGUE_INTRO_01,Приём... На связи руководство! Мы засекли масштабный звездопад в твоём секторе этой ночью.,Receiving... This is Command. We detected a massive meteor shower in your sector tonight.
MONOLOGUE_INTRO_02,Твоя задача — съездить на предполагаемые координаты и изучить образцы минералов оттуда.,Your task is to go to the estimated coordinates and examine mineral samples from the impact site.
MONOLOGUE_INTRO_03,"Обломки скоро поглотят снега Антарктиды, а результаты исследований очень важны для экспедиции!","The debris will soon be buried under Antarctic snow — these research results are critical for the expedition!"
MONOLOGUE_RETURN_01,Приём... Мы видим по камерам, что тебе удалось собрать минералы - отлично!,Receiving... We see from the cameras that you managed to collect the minerals — excellent!
MONOLOGUE_RETURN_02,Теперь тебе нужно проанализировать их - используй оборудование на базе.,Now you need to analyze them — use the equipment at the base.
MONOLOGUE_RETURN_03,"Как только определишь все характеристики образца - делай вывод что за минерал и присылай нам отчёт.","Once you determine all characteristics of the sample — classify the mineral and send the report."
MONOLOGUE_FINAL_01,Приём... На связи руководство... мы тоже наблюдаем странные характеристики образца...,Receiving... This is Command... we're detecting unusual readings from that sample too...
MONOLOGUE_FINAL_02,"Вероятно, ошибка сканера! Не заморачивайся — такое бывает.","Probably a scanner glitch! Don't worry — it happens."
MONOLOGUE_FINAL_03,"Просто положи этот образец в карантинный ящик и поставь в отчёте раздел «Аномалия».","Just put the sample into the quarantine box and mark it as “Anomaly” in the report."
MONOLOGUE_MORNING_DAY2_01,Приём, это руководство. Отправили координаты новой пещеры, порядок действий тот же.,Receiving, this is Command. New cave coordinates uploaded, same protocol as yesterday.
MONOLOGUE_MORNING_DAY2_02,"На сегодня план: четыре минерала. Образцы, которые нельзя классифицировать помечай как аномалии и клади в карантинный ящик.","Today's mission: four minerals. Samples that cannot be classified — mark as anomalies and place in the quarantine container."
MONOLOGUE_MORNING_DAY2_03,Надвигается буря, будь готов. Удачи.,Storm incoming, stay sharp. Good luck.
MONOLOGUE_MORNING_DAY2_04,"Будешь плохо работать, неправильно классифицировать образцы — будешь уволен.","Work poorly, misclassify samples — and you will be fired."
MONOLOGUE_MORNING_DAY3_01,<color=red>…координаты… быстрее…</color>,<color=red>...coordinates... hurry...</color>
MONOLOGUE_MORNING_DAY3_02,"Оно близко…","It is close..."
SCANNER_DEFAULT,"Крист. решётка: {0}\nВозраст: {1}\nРадиоактивность: {2}","Crystal system: {0}\nAge: {1}\nRadioactivity: {2}"
CRYSTAL_LABEL,{0},{0}
AGE_LABEL,"{0} {1}","{0} {1}"
RAD_LABEL,"{0} Бк","{0} Bq"
SCANNER_NO_CONNECTION,НЕТ СОЕДИНЕНИЯ,NO CONNECTION
SCANNER_ADD_TEXT,Выберите другой образец для изучения.,Select another sample for analysis.
SCANNER_ALREADY_RESEARCHED,"ОБРАЗЕЦ УЖЕ ИЗУЧЕН\nОтчёт по нему отправлен.","SAMPLE ALREADY RESEARCHED\nReport has been sent."
SCANNER_ALREADY_DONE,<color=#888888>Исследование завершено ранее</color>,<color=#888888>Research completed previously</color>
SCANNER_NO_SIGNAL,"<color=red>Нет сигнала или исследование завершено!</color>\nКрист. решётка: ???\nВозраст: ???\nРадиоактивность: ???","<color=red>No signal or research completed!</color>\nCrystal system: ???\nAge: ???\nRadioactivity: ???"
SCANNER_RECORD_DATA,Зафиксировать колебания,Record Oscillations
REPORT_SELECT_CLASS,Выберите класс для просмотра характеристик,Select a class to view its characteristics
REPORT_CHOOSE_CORRECT,Выберите правильный класс,Choose the correct class
REPORT_SELECTED,"Выбран: {0}\nНажмите «Отправить отчёт»","Selected: {0}\nPress “Submit Report”"
REPORT_SELECT_FIRST,Сначала выберите класс!,First select a class!
REPORT_MEASURED_DATA,"<b>ИЗМЕРЕННЫЕ ДАННЫЕ:</b>\n\nВозраст: <color=#FFD700>{0}</color> {1}\nРадиация: <color=#FF6666>{2}</color> Бк\nРешётка: <color=#CC66FF>{3}</color>","<b>MEASURED DATA:</b>\n\nAge: <color=#FFD700>{0}</color> {1}\nRadiation: <color=#FF6666>{2}</color> Bq\nCrystal system: <color=#CC66FF>{3}</color>"
REPORT_UNKNOWN,"Возраст: ???\nРадиация: ??? Бк\nРешётка: ???","Age: ???\nRadiation: ??? Bq\nCrystal system: ???"
REPORT_AGE,"Возраст: {0} {1}","Age: {0} {1}"
REPORT_RAD,"Радиация: {0} Бк","Radiation: {0} Bq"
REPORT_CRYSTAL,"Решётка: {0}","Crystal system: {0}"
REPORT_DAYS,дней,days
REPORT_MILLION_YEARS,млн лет,million years
REPORT_AGE_UNIT_DAYS,дней,days
REPORT_AGE_UNIT_MILLION,млн лет,million years
REPORT_CLASS_DETAILS,"{0}\n\nВозраст: {1} {2}\nРадиоактивность: {3} Бк\nКрист. решётка: {4}","{0}\n\nAge: {1} {2}\nRadioactivity: {3} Bq\nCrystal system: {4}"
REPORT_CLASS_DETAILS_ANOMALY,"{0}\n\nВозраст: ???\nРадиоактивность: ???\nКрист. решётка: ???","{0}\n\nAge: ???\nRadioactivity: ???\nCrystal system: ???"
REPORT_SEND_REPORT,Отправить отчёт,Send Report
REPORT_Open_Panel,"Составить \nотчёт","Create \nreport"
REPORT_VIEWER_TITLE,Результаты исследований,Research Results
REPORT_VIEWER_NO_REPORTS,"Нет завершённых отчётов.\nИсследуй минералы и заверши день!","No completed reports yet.\nResearch minerals and complete the day!"
REPORT_VIEWER_DAY_TITLE,"День {0}: Результаты","Day {0}: Results"
REPORT_VIEWER_DAY_COUNTER,"{0} / {1}","{0} / {1}"
REPORT_VIEWER_SAMPLE,"Образец №{0}","Sample #{0}"
REPORT_VIEWER_EmptyText,Вчера не было исследований образцов,There were no sample studies yesterday
REPORT_VIEWER_Verdict,Вердикт руководства,The verdict of the authorities
REPORT_VIEWER_ResultResearch,Результаты исследований,Research results
REPORT_VIEWER_PreviousDay,Предыдущий день,Previous day
REPORT_VIEWER_NextDay,Следующий день,Next day
NAME_MINERAL_CLASS_1,Осадочный железняк,Sedimentary Ironstone
NAME_MINERAL_CLASS_2,Радиоактивные породы,Radioactive Rocks
NAME_MINERAL_CLASS_3,Окаменелая флора,Petrified Flora
NAME_MINERAL_CLASS_4,Останки динозавров,Dinosaur Remains
NAME_MINERAL_CLASS_5,Аномалия,Anomaly
CRYSTAL_CUBIC,кубическая,cubic
CRYSTAL_MOLECULAR,молекулярная,molecular
CRYSTAL_MONOCLINIC,моноклинная,monoclinic
CRYSTAL_AMORPHOUS,аморфная,amorphous
TUT_LOOK,Осмотритесь вокруг — двигайте мышью,Look around — move your mouse
TUT_MOVE,"Двигайтесь с помощью <color=#ffff00>W A S D</color>","Move using <color=#ffff00>W A S D</color>"
TUT_DOOR,"Чтобы открыть дверь — подойдите и <color=#ffff00>зажмите ЛКМ</color>","To open the door — approach and <color=#ffff00>hold LMB</color>"
TUT_VEHICLE,"Подойдите к снегоходу и нажмите <color=#ffff00>E</color>","Approach the snowmobile and press <color=#ffff00>E</color>"
TUT_FLARE,"Бросьте факел — нажмите <color=#ffff00>F</color>","Throw a flare — press <color=#ffff00>F</color>"
TUT_BREAK,"Ломайте ледяную залежь — <color=#ffff00>ЛКМ</color>","Break the ice deposit — <color=#ffff00>LMB</color>"
TUT_CARRY,"Отнесите добытый образец\nв <color=#ffff00>снегоход</color>","Carry the sample\nto the <color=#ffff00>snowmobile</color>"
TUT_RETURN,"Вы собрали достаточно образцов.\n<color=#00ff00>Вернитесь на базу и изучите их</color>","You have collected enough samples.\n<color=#00ff00>Return to base and analyze them</color>"
TUT_TABLE,"Возьмите образец и отнесите его\nна <color=#ffff00>исследовательский стол</color>","Take the sample and bring it\nto the <color=#ffff00>research table</color>"
TUT_SCAN_MOVE,"Крутите джойстик на <color=#ffff00>LMB</color>, найдите активные зоны на образце!","Rotate the joystick with <color=#ffff00>LMB</color>, find active zones on the sample!"
TUT_SCAN_CLICK,"Нажмите на кнопку <color=#ffff00>получить данные</color>","Press the <color=#ffff00>Record Data</color> button"
TUT_ACCURACY,"Чем точнее вы выбрали точку на минерале,\nтем точнее вы получите данные.","The more precisely you select a point on the mineral,\nthe more accurate the data you will receive."
TUT_FIND_MORE,"Найдите еще <color=#ffff00>2 точки</color>, чтобы собрать все данные","Find <color=#ffff00>2 more points</color> to collect all data"
TUT_CONCLUSION,"Сделайте вывод, к какому классу относится образец — <color=#ffff00>отправьте отчёт</color>","Determine which class the sample belongs to — <color=#ffff00>submit the report</color>"
TUT_ANOMALY_PLACE,"Поместите странный образец\nв <color=#ff3333>ящик для аномалий</color>","Place the strange sample\nin the <color=#ff3333>anomaly box</color>"
TUT_GO_TO_BED,"Лягте в кровать — нажмите <color=#ffff00>E</color>","Go to bed — press <color=#ffff00>E</color>"
TUT_Done,Готово,Done
ENDING_TEXT,"Вы видели то, что должно было остаться погребённым.\n\nРадиация и одиночество сожгли ваш разум. Вы уже не отличаете явь от бреда.\n\nКорпорация получила всё: данные, патенты, миллиарды. Вас в отчётах нет даже в сноске.\n\nВы остались здесь навсегда. Под снегом. Один.\n\nНикто не придёт.\nНикто не вспомнит.","You saw what was meant to remain buried.\n\nRadiation and solitude burned your mind away. You can no longer tell reality from delusion.\n\nThe corporation got everything: the data, the patents, the billions. You don’t even appear in the footnotes.\n\nYou stayed here forever. Under the snow. Alone.\n\nNo one is coming.\nNo one will remember."
ENDING_SECRET_TEXT, Вы пытались вырваться из ледяного плена, пока не кончилось топливо в снегоходе.\n\n Три часа спустя стало ясно: вы окончательно потерялись.\n\n Приближается ночь, холод усиливается.\n\n Снежная пустошь глотает вас без остатка — без крика, без следа.","You fought, desperately trying to break free from the icy trap until the snowmobile finally ran out of fuel and died in the drift.\n\n Three hours later it became clear: you were utterly lost.\n\nNight falls like a leaden shroud, the cold gnawing into your bones.\n\n The snowy wasteland swallows you whole — without a scream, without a trace.
AUDIO_MASTER,Громкость общая,Master Volume
AUDIO_SFX,Громкость эффектов,Sound Effects
AUDIO_AMBIENCE,Громкость окружения,Ambience
